client_id,first_name,last_name,email,age,signup_date
C00000,Anna,Smirnova,,120,2025-02-01
C00001,Ivan,Petrov,user1@example.com,19,01.02.2025
C00002,Maria,Ivanova,user2@example.com,20,2025-02-01
C00003,Petr,Sokolov,user3@example.com,21,01.02.2025
C00004,Anna,Smirnova,user4@example.com,22,2025-02-01
C00005,Ivan,Petrov,user5@example.com,23,01.02.2025
C00006,Maria,Ivanova,user6@example.com,24,2025-02-01
C00007,Petr,Sokolov,user7@example.com,25,01.02.2025
C00008,Anna,Smirnova,user8@example.com,26,2025-02-01
C00009,Ivan,Petrov,user9@example.com,27,01.02.2025
C00010,Maria,Ivanova,user10@example.com,28,2025-02-01
C00011,Petr,Sokolov,user11@example.com,29,01.02.2025
C00012,Anna,Smirnova,user12@example.com,30,2025-02-01
C00013,Ivan,Petrov,user13@example.com,31,01.02.2025
C00014,Maria,Ivanova,user14@example.com,32,2025-02-01
C00015,Petr,Sokolov,user15@example.com,33,01.02.2025
C00016,Anna,Smirnova,user16@example.com,34,2025-02-01
C00017,Ivan,Petrov,user17@example.com,35,01.02.2025
C00018,Maria,Ivanova,user18@example.com,36,2025-02-01
C00019,Petr,Sokolov,user19@example.com,37,01.02.2025
C00020,Anna,Smirnova,user20@example.com,38,2025-02-01
C00021,Ivan,Petrov,user21@example.com,39,01.02.2025
C00022,Maria,Ivanova,user22@example.com,40,2025-02-01
C00023,Petr,Sokolov,,41,01.02.2025
C00024,Anna,Smirnova,user24@example.com,42,2025-02-01
C00025,Ivan,Petrov,user25@example.com,43,01.02.2025
C00026,Maria,Ivanova,user26@example.com,44,2025-02-01
C00027,Petr,Sokolov,user27@example.com,45,01.02.2025
C00028,Anna,Smirnova,user28@example.com,46,2025-02-01
C00029,Ivan,Petrov,user29@example.com,47,01.02.2025
C00030,Maria,Ivanova,user30@example.com,48,2025-02-01
C00031,Petr,Sokolov,user31@example.com,49,01.02.2025
C00032,Anna,Smirnova,user32@example.com,50,2025-02-01
C00033,Ivan,Petrov,user33@example.com,51,01.02.2025
C00034,Maria,Ivanova,user34@example.com,52,2025-02-01
C00035,Petr,Sokolov,user35@example.com,53,01.02.2025
C00036,Anna,Smirnova,user36@example.com,54,2025-02-01
C00037,Ivan,Petrov,user37@example.com,55,01.02.2025
C00038,Maria,Ivanova,user38@example.com,56,2025-02-01
C00039,Petr,Sokolov,user39@example.com,57,01.02.2025
C00040,Anna,Smirnova,user40@example.com,58,2025-02-01
C00041,Ivan,Petrov,user41@example.com,59,01.02.2025
C00042,Maria,Ivanova,user42@example.com,60,2025-02-01
C00043,Petr,Sokolov,user43@example.com,61,01.02.2025
C00044,Anna,Smirnova,user44@example.com,62,2025-02-01
C00045,Ivan,Petrov,user45@example.com,63,01.02.2025
C00046,Maria,Ivanova,,64,2025-02-01
C00047,Petr,Sokolov,user47@example.com,65,01.02.2025
C00048,Anna,Smirnova,user48@example.com,66,2025-02-01
C00049,Ivan,Petrov,user49@example.com,67,01.02.2025
C00050,Maria,Ivanova,user50@example.com,68,2025-02-01
C00051,Petr,Sokolov,user51@example.com,69,01.02.2025
C00052,Anna,Smirnova,user52@example.com,70,2025-02-01
C00053,Ivan,Petrov,user53@example.com,71,01.02.2025
C00054,Maria,Ivanova,user54@example.com,72,2025-02-01
C00055,Petr,Sokolov,user55@example.com,18,01.02.2025
C00056,Anna,Smirnova,user56@example.com,19,2025-02-01
C00057,Ivan,Petrov,user57@example.com,20,01.02.2025
C00058,Maria,Ivanova,user58@example.com,21,2025-02-01
C00059,Petr,Sokolov,user59@example.com,22,01.02.2025
C00060,Anna,Smirnova,user60@example.com,23,2025-02-01
C00061,Ivan,Petrov,user61@example.com,24,01.02.2025
C00062,Maria,Ivanova,user62@example.com,25,2025-02-01
C00063,Petr,Sokolov,user63@example.com,26,01.02.2025
C00064,Anna,Smirnova,user64@example.com,27,2025-02-01
C00065,Ivan,Petrov,user65@example.com,28,01.02.2025
C00066,Maria,Ivanova,user66@example.com,29,2025-02-01
C00067,Petr,Sokolov,user67@example.com,30,01.02.2025
C00068,Anna,Smirnova,user68@example.com,31,2025-02-01
C00069,Ivan,Petrov,,32,01.02.2025
C00070,Maria,Ivanova,user70@example.com,33,2025-02-01
C00071,Petr,Sokolov,user71@example.com,34,01.02.2025
C00072,Anna,Smirnova,user72@example.com,35,2025-02-01
