"Allen, Peter","Art&Des","B"
"","CreatArt","A"
"","D&T","A"
"","English","A"
"","Geography","A*"
"","History","A"
"","Hu'ties","A"
"","ICT","A"
"","Maths","A*"
"","MFL","A"
"","PE","A"
"","Science","A*"
"Allman, Fred","Art&Des","C"
"","CreatArt","B"
"","D&T","C"
"","English","C"
"","Geography","C"
"","History","C"
"","Hu'ties","C"
"","ICT","C"
"","Maths","C"
"","MFL","C"
"","PE","B"
"","Science","B"
"Arnold,Mary","Art&Des","A"
"","CreatArt","A"
"","D&T","A"
"","English","A"
"","Geography","A"
"","History","A"
"","Hu'ties","A"
"","ICT","B"
"","Maths","C"
"","MFL","B"
"","PE","B"
"","Science","B"
