"3618","cheeseman GEORGE","","","ANNIE","","","12/13/2011","6/2/2011"
"11931 N happy CT","","","","SPAYED FEMALE","","","$8.00","6/2/2014"
"MEQUON, WI 53092","","","","ENGLISH SETTER","","","$0.00","LAKESIDE ANIMAL HOSP"
"23423","","","","WHITE/BLACK TICKED","","","CASH",""
"","","","","","","","","S606115A"
"3619","carroway, JIM","","","MAGGIE","","","12/15/2011","11/2/2009"
"10484 N Sad CREEK CT","","","","SPAYED FEMALE","","","$8.00","11/2/2012"
"MEQUON, WI 53092","","","","GERMAN W.H. POINTER","","","$0.00","T M SMALL ANIMAL"
"234234","","","","LIVER/WHITE","","","CASH",""
"","","","","","","","","46327"
